ST-5509 عصارة,11001,0,25,قطعة
ST-5594 عصارة,11002,0,11,قطعة
طباخ ST-9638,11003,0,15,قطعة
طباخ ST-9639,11004,0,12,قطعة
ST-5574 خلاط,11005,0,75,قطعة
ST-5559خلاط,11006,0,70,قطعة
عجانة ST-5523,11007,0,110,قطعة
عجانة ST-5532,11008,0,25,قطعة
غاز ستاليس *2 ST-9654,11009,0,22,قطعة
ST-9657 غاز بللور *1,11010,0,14,قطعة
